year	aysm	contig	ally	sq	dema	demb	disp	py
1947	0.948853	1	1	0.97458	-9	7	0	1
1947	0.929673	1	1	0.994267	-3	5	0	1
1947	0.988942	0	0	-0.0730409	10	-9	0	1
1947	0.998176	0	0	-0.0767981	10	-3	0	1
1947	0.985769	0	0	-0.0781789	-1	10	0	1
1947	0.964588	0	0	0.240563	10	10	0	1
1947	0.964815	0	0	-0.0805509	10	3	0	1
1947	0.646587	1	0	0.967535	10	10	0	1
1947	0.479356	1	0	-0.621894	10	-9	0	0
1947	0.762734	1	0	0.473227	-7	10	0	1
1947	0.47234	0	0	0.654399	10	10	0	1
1947	0.0572727	1	1	0.991798	2	2	0	1
1947	0.9929	0	0	-0.161148	-9	-9	0	1
1947	0.987536	1	0	0.657653	-9	-5	1	1
1947	0.999405	0	1	0.306893	10	10	0	1
1947	0.944207	0	0	0.233042	10	10	0	1
1947	0.177196	1	1	0.990603	5	2	0	1
1947	0.995314	0	0	-0.230262	10	-9	0	1
1947	0.850109	0	0	0.3361	10	10	0	1
1947	0.982932	0	0	-0.0700278	0	10	0	1
1947	0.760979	1	0	0.955072	-10	-4	0	1
1947	0.507359	0	0	-0.246063	10	10	0	1
1947	0.421857	1	0	0.146161	7	10	0	1
1947	0.902557	0	0	0.112138	10	-9	0	1
1947	0.715469	0	0	0.828466	10	-7	0	1
1947	0.810784	1	1	0.972642	-3	7	0	1
1947	0.520053	1	1	0.994295	2	-5	0	1
1947	0.99473	0	0	-0.160929	-8	-9	0	1
1947	0.99927	0	0	-0.0674976	-6	10	0	1
1947	0.965588	0	0	-0.0804624	10	2	0	1
1947	0.975192	0	0	0.530527	10	2	0	1
1947	0.838563	0	0	0.480448	10	10	0	1
1947	0.612567	1	0	0.969413	10	10	0	1
1947	0.956042	0	0	0.169562	-5	10	0	1
1947	0.686488	1	0	0.970754	10	10	0	1
1947	0.555082	1	1	0.992886	5	-1	0	1
1947	0.999403	1	1	0.306892	10	-3	0	1
1947	0.912493	0	0	0.600991	10	-7	0	0
1947	0.569543	1	1	0.998281	-3	5	0	1
1947	0.849215	0	0	0.104617	10	-9	0	1
1947	0.997667	0	0	-0.160579	-9	-8	0	1
1947	0.031074	1	1	0.61523	-9	-5	1	0
1947	0.999335	0	0	0.36066	10	10	0	1
1947	0.265106	1	0	0.576558	-7	8	0	1
1947	0.706405	1	1	0.75757	-7	-9	0	1
1947	0.340763	1	0	0.575954	10	7	0	1
1947	0.961933	1	0	0.583901	10	-10	0	1
1947	0.994326	0	0	-0.0772247	-8	10	0	1
1947	0.811323	0	0	-0.185071	-9	7	0	1
1947	0.982183	0	0	-0.0475661	-9	-5	0	1
1947	0.98778	0	0	0.210204	-9	-9	0	1
1947	0.476987	1	1	0.994765	-5	2	0	1
1947	0.998142	0	1	0.306465	10	-8	0	1
1947	0.484754	0	0	0.872958	10	10	0	1
1947	0.996204	1	1	0.604348	10	-10	0	1
1947	0.970325	0	0	0.356177	10	10	0	1
1947	0.960381	1	0	0.0363085	-5	-9	0	1
1947	0.576239	1	0	0.961815	8	10	0	1
1947	0.883831	1	0	0.5223	10	-9	0	1
1947	0.352767	1	1	0.616994	-4	-10	0	1
1947	0.968896	0	0	0.173543	-9	-9	0	1
1947	0.986684	1	0	0.262236	-10	10	0	1
1947	0.966532	0	0	-0.426382	10	1	0	1
1947	0.997488	0	0	-0.0768742	10	-8	0	1
1947	0.988889	0	0	0.0634127	10	10	0	1
1947	0.997738	0	0	-0.0604058	10	2	0	1
1947	0.751785	1	1	0.633434	10	-4	0	1
1947	0.228411	1	0	0.967074	10	10	0	1
1947	0.972567	0	0	0.170084	10	-9	0	1
1947	0.993693	0	0	0.0887065	10	-5	0	1
1947	0.903348	0	0	0.141283	10	-4	0	1
1947	0.987757	0	0	0.0628793	10	10	0	1
1947	0.959288	1	1	0.293054	-6	10	0	1
1947	0.517113	1	0	0.668222	10	10	0	1
1947	0.948409	0	0	0.0439546	10	10	0	1
1947	0.85747	1	1	0.964861	7	0	0	1
1947	0.978529	0	0	0.0817219	10	-3	0	1
1947	0.961487	0	0	-0.0809321	2	10	1	1
1947	0.978883	0	0	0.170281	-9	10	0	1
1947	0.747212	1	1	0.600591	-7	-9	0	1
1947	0.746609	0	0	0.491822	10	-1	0	1
1947	0.939487	0	0	0.177499	10	0	0	1
1947	0.0679957	1	0	0.356017	10	-5	0	1
1947	0.940174	0	0	-0.0545508	-3	-9	0	1
1947	0.820059	0	0	0.470928	10	10	0	1
1947	0.998905	0	1	0.306724	-3	10	0	1
1947	0.974178	0	0	-0.0991101	10	-1	0	1
1947	0.929546	1	0	0.97834	-10	1	0	1
1947	0.987248	0	1	0.302758	2	10	0	1
1947	0.824237	0	0	0.580145	10	8	0	1
1947	0.872104	1	0	0.582499	10	10	0	1
1947	0.626074	1	0	0.650306	5	-10	0	1
1947	0.998758	0	0	-0.406038	-10	10	0	1
1947	0.996655	0	0	-0.0769664	-3	10	0	1
